Graph Size,Start Node,Trial,Execution Time,Memory consumed,No of Comparisions,No of Relaxations
20,0,1,15,112,23,19
20,0,2,12,112,23,19
20,0,3,11,112,23,19
20,0,4,11,112,23,19
20,0,5,11,112,23,19
20,1,1,11,112,23,21
20,1,2,11,112,23,21
20,1,3,11,112,23,21
20,1,4,11,112,23,21
20,1,5,11,112,23,21
20,2,1,11,112,23,20
20,2,2,11,112,23,20
20,2,3,11,112,23,20
20,2,4,11,112,23,20
20,2,5,11,112,23,20
20,3,1,11,112,23,19
20,3,2,11,112,23,19
20,3,3,11,112,23,19
20,3,4,13,112,23,19
20,3,5,11,112,23,19
20,4,1,11,112,23,20
20,4,2,11,112,23,20
20,4,3,11,112,23,20
20,4,4,11,112,23,20
20,4,5,11,112,23,20
20,5,1,12,112,23,20
20,5,2,12,112,23,20
20,5,3,12,112,23,20
20,5,4,11,112,23,20
20,5,5,11,112,23,20
20,6,1,11,112,23,20
20,6,2,11,112,23,20
20,6,3,11,112,23,20
20,6,4,11,112,23,20
20,6,5,11,112,23,20
20,7,1,11,112,23,19
20,7,2,11,112,23,19
20,7,3,11,112,23,19
20,7,4,11,112,23,19
20,7,5,11,112,23,19
20,8,1,11,112,23,19
20,8,2,11,112,23,19
20,8,3,11,112,23,19
20,8,4,10,112,23,19
20,8,5,11,112,23,19
20,9,1,11,112,23,20
20,9,2,11,112,23,20
20,9,3,11,112,23,20
20,9,4,11,112,23,20
20,9,5,11,112,23,20
20,10,1,11,112,23,19
20,10,2,11,112,23,19
20,10,3,11,112,23,19
20,10,4,11,112,23,19
20,10,5,11,112,23,19
20,11,1,11,112,23,21
20,11,2,11,112,23,21
20,11,3,11,112,23,21
20,11,4,11,112,23,21
20,11,5,11,112,23,21
20,12,1,12,112,23,20
20,12,2,12,112,23,20
20,12,3,12,112,23,20
20,12,4,11,112,23,20
20,12,5,11,112,23,20
20,13,1,11,112,23,20
20,13,2,11,112,23,20
20,13,3,11,112,23,20
20,13,4,11,112,23,20
20,13,5,11,112,23,20
20,14,1,11,112,23,20
20,14,2,13,112,23,20
20,14,3,11,112,23,20
20,14,4,11,112,23,20
20,14,5,11,112,23,20
20,15,1,11,112,23,19
20,15,2,11,112,23,19
20,15,3,11,112,23,19
20,15,4,11,112,23,19
20,15,5,11,112,23,19
20,16,1,11,112,23,19
20,16,2,11,112,23,19
20,16,3,11,112,23,19
20,16,4,11,112,23,19
20,16,5,11,112,23,19
20,17,1,11,112,23,19
20,17,2,11,112,23,19
20,17,3,11,112,23,19
20,17,4,11,112,23,19
20,17,5,11,112,23,19
20,18,1,11,112,23,19
20,18,2,11,112,23,19
20,18,3,11,112,23,19
20,18,4,11,112,23,19
20,18,5,11,112,23,19
20,19,1,11,112,23,20
20,19,2,12,112,23,20
20,19,3,11,112,23,20
20,19,4,11,112,23,20
20,19,5,11,112,23,20